,Tehsils
0,bahawalnagar
1,chishtian
2,fort abbas
3,haroonabad
4,minchinabad
5,ahmadpur east
6,bahawalpur
7,hasilpur
8,khairpur tamewali
9,yazman
10,dera ghazi khan
11,taunsa
12,jahanian
13,kabirwala
14,khanewal
15,chaubara
16,karor lal esan
17,layyah
18,dunya pur
19,karorpacca
20,lodhran
21,jalalpur pirwala
22,multan city
23,multan saddar
24,shujabad
25,alipur
26,jatoi
27,kot addu
28,muzaffargarh
29,khan pur
30,liaqat pur
31,rahim yar khan
32,sadiqabad
33,jampur
34,rajanpur
35,rojhan
36,burewala
37,mailsi
38,vehari
39,mian channu
